catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Luhansk,Head of the Republic,Leonid Pasechnik,Q43590358,2017-11-24,male,1970-03-15,,"Leonid Pasechnik (cropped, 2022-02-21).jpg",Leonid Pasechnik
Luhansk,Chairman of the Council of Ministers,Sergey Kozlov,Q21855460,2015-12-28,male,1963-11-07,,Сергей Козлов ЛНР 2018 (cropped).png,Sergey Kozlov (politician)
Luhansk,First Deputy Chairman,Vladislav Kuznetsov,Q108786855,2022-06-09,,1969-03-18,,,
Luhansk,Minister of Defence,Oleg Bugrov,Q110994764,2014-08-26,male,,,,
Luhansk,Minister of Foreign Affairs,Vladislav Daynego,Q28799078,2018-12-29,male,1964-03-12,,Vladislav Deynego.jpg,
Luhansk,Minister of Internal Affairs,Igor Kornet,Q43402379,2017-11-25,male,1973-04-29,,,
Luhansk,Minister of State Security,Leonid Pasechnik,Q43590358,2014-10-09,male,1970-03-15,,"Leonid Pasechnik (cropped, 2022-02-21).jpg",Leonid Pasechnik
