catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Cameroon,Member of the Senate of Cameroon,Pierrette Hayatou,Q111355893,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Pius Ondoua,Q111355894,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Raoul Tchomnou,Q111355896,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Rebecca Amah Ankie Affiong,Q111355897,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,René Ze Nguelle,Q111355898,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Samuel Obam Assam,Q111355899,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Simon Kingue,Q111355900,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Simon Onjwo Chief An Jan,Q111355901,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Siroma Aboubakar,Q111355902,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Songue Madiba,Q111355903,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Stephen Yerima Jikong,Q111355904,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Sylvestre Naah Ondoua,Q111355905,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Tabe Tando Ndiep Nso,Q111355906,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Thomas Tobbo Eyoum,Q111355907,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Tidjani Ahmadou,Q111355908,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Victor Ndjomo Kamga,Q111355909,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Wanlo Chiamua John,Q111355910,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Yvonne Asta,Q111355912,2013-10-29,2018-03-24,,,,,
