catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Gabon,President,Ali Bongo Ondimba,Q57521,2009-10-16,male,1959-02-09,,Ali Bongo Ondimba.png,Ali Bongo Ondimba
Gabon,Prime Minister,Rose Christiane Raponda,Q65556229,2020-07-16,female,1964,,Rose Raponda 2015.png,Rose Christiane Raponda
Gabon,Minister of Finance and Economy,Jean-Marie Ogandaga,Q106958062,2019-12,male,,,,
Gabon,Minister for Foreign Affairs,Pacome Moubelet Boubeya,Q26924447,2020-07-23,male,1963-03-12,,Pacôme Moubelet-Boubeya (cropped).jpg,Pacôme Moubelet-Boubeya
Gabon,Minister of Justice,Denise Mekamne,Q63412824,2016-09,female,,,,
Gabon,Speaker of the National Assembly,Faustin Boukoubi,Q2655471,2019-01-11,male,1954-03-20,,,Faustin Boukoubi
